bommie_number,siteCode,siteNumber,date,startTime,endTime,site,lat_start,lon_start,lat_end,lon_end,x_coord,y_coord,live_coral_total,dead_coral_total,turf_total,macroalgae_total,rock_total,invertebrate_total,number_total_points,proportion_live_coral,proportion_dead_coral,proportion_turf,proportion_macroalgae,proportion_rock,proportion_invertebrate,final_coralSpecies,depth,height,length,width,circumference,depth_to_benthos,L_onLive,L_onDead,D_liveOnLive,D_liveOnDead,D_deadOnLive,D_deadOnDead,tridacna,spirobranchus,total_L,total_live_D,total_D,density_L_onLive,density_L_onDead,density_D_liveOnLive,density_D_liveOnDead,density_D_deadOnLive,density_D_deadOnDead,density_tridacna,density_spirobranchus,density_total_L,density_total_live_D,density_total_D,percent_N_jan,percent_N_may,percent_N_aug,jan_d15,may_d15,aug_d15,NHW_speed,NLW_speed,ELW_speed,avg_speed,NHW_speed_offshore,NLW_speed_offshore,ELW_speed_offshore,avg_speed_offshore,distanceOutBay,L_onLive_diameter_1,L_onLive_diameter_2,L_onLive_diameter_3,L_onLive_diameter_4,avg_L_onLive_diameter,max_L_onLive_diameter,min_L_onLive_diameter,L_onDead_diameter_1,L_onDead_diameter_2,L_onDead_diameter_3,L_onDead_diameter_4,avg_L_onDead_diameter,max_L_onDead_diameter,min_L_onDead_diameter,D_onLive_diameter_1,D_onLive_diameter_2,D_onLive_diameter_3,D_onLive_diameter_4,avg_D_onLive_diameter,max_D_onLive_diameter,min_D_onLive_diameter,D_onDead_diameter_1,D_onDead_diameter_2,D_onDead_diameter_3,D_onDead_diameter_4,avg_D_onDead_diameter,max_D_onDead_diameter,min_D_onDead_diameter,notes,collector1,collector2,collector3
11,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,3,7,0,2,10,7,0,0,19,0.000,0.105,0.526,0.368,0.000,0.000,Porites lobata,189,24,49,31,122,213,0,0,0,0,0,0,0,0,0,0,0,,0.000,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
12,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,7,5,17,0,0,3,0,0,20,0.850,0.000,0.000,0.150,0.000,0.000,Porites lobata,146,26,28,26,88,172,32,0,0,0,0,0,0,0,32,0,0,120.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,102.400,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,3.4,5,4,4,4.1,5,3.4,,,,,,,,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
13,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,12,7,2,9,15,4,0,0,30,0.067,0.300,0.500,0.133,0.000,0.000,Porites lobata,147,36,67,60,159,183,13,2,0,0,0,0,0,0,15,0,0,416.000,4.571,0.000,0.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,2.0,2.0,2.1,0.9,1.8,2.1,0.9,3.0,4.0,,,3.5,4.0,3.0,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
14,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,12,9,4,25,0,12,0,0,41,0.098,0.610,0.000,0.293,0.000,0.000,Porites lobata,236,51,53,47,132,287,9,0,0,0,0,0,0,0,9,0,0,144.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.049,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,3.0,1.0,1.5,3.0,2.1,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,1? hole but unclear --> removed in clean data,Zoe Fu-Chen,Ellie Fox,
15,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,13,4,3,0,0,2,0,0,5,0.600,0.000,0.000,0.400,0.000,0.000,Porites lobata,154,13,14,12,40,167,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 (holes but coral too dead to tell, not dendro?)",Zoe Fu-Chen,Ellie Fox,
16,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,15,10,13,0,0,4,0,0,17,0.765,0.000,0.000,0.235,0.000,0.000,Porites lobata,162,27,35,16,80,189,16,0,0,0,0,0,0,0,16,0,0,78.769,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.235,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,4.7,5.2,5.0,4.5,4.9,5.2,4.5,,,,,,,,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
17,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,17,7,4,18,0,14,0,0,36,0.111,0.500,0.000,0.389,0.000,0.000,Porites lobata,232,29,59,35,144,261,1,0,0,0,0,0,0,0,1,0,0,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.778,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,3.4,,,,3.4,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
18,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,22,2,0,6,0,5,0,0,11,0.000,0.545,0.000,0.455,0.000,0.000,Porites lobata,175,14,21,15,47,189,0,0,0,0,0,0,0,0,0,0,0,,0.000,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
19,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,33,0,10,20,0,0,0,0,30,0.333,0.667,0.000,0.000,0.000,0.000,Porites lobata,198,33,47,35,128,231,6,0,0,0,0,0,0,0,6,0,0,38.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.800,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,2.9,1.5,3.0,1.3,2.2,3.0,1.3,,,,,,,,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
20,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,33,10,0,31,0,11,0,0,42,0.000,0.738,0.000,0.262,0.000,0.000,Porites lobata,299,37,68,63,194,336,0,0,0,0,0,0,0,0,0,0,0,,0.000,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.537,0.580,0.521,4.604,5.033,3.895,0.028991,0.001581,0.001746,0.014231,0.029071,0.003041,0.002263,0.014820,-1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
1,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,11,6,10,0,12,0,0,0,22,0.455,0.000,0.545,0.000,0.000,0.000,Porites lobata,78,25,36,33,100,103,7,2,0,1,0,0,0,0,9,1,1,44.800,10.667,0.000,5.333,0.000,0.000,0.000,0.000,26.182,2.909,2.909,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,1.4,2,2.1,1.4,1.725,2.1,1.4,1.3,0.3,,,0.8,1.3,0.3,,,,,,,,2.1,,,,2.1,2.1,2.1,,Ethan Kahn,Natalie Loftus,
2,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,12,-2,1,0,0,0,0,0,1,1.000,0.000,0.000,0.000,0.000,0.000,Porites lobata,64,14,12,11,30,78,0,0,0,0,0,0,0,0,0,0,0,0.000,,0.000,,0.000,,0.000,0.000,0.000,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethan Kahn,Natalie Loftus,
3,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,17,4,1,3,7,2,0,0,13,0.077,0.231,0.538,0.154,0.000,0.000,Porites lobata,50,29,24,20,67,79,0,1,0,0,0,0,0,0,1,0,0,0.000,5.333,0.000,0.000,0.000,0.000,0.000,0.000,4.923,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,1.4,,,,1.4,1.4,1.4,,,,,,,,,,,,,,,,Ethan Kahn,Natalie Loftus,
4,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,22,2,12,0,1,0,0,0,13,0.923,0.000,0.077,0.000,0.000,0.000,Porites lobata,55,32,25,21,73,87,0,0,2,0,1,0,0,0,0,2,3,0.000,0.000,10.667,0.000,5.333,0.000,0.000,0.000,0.000,9.846,14.769,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,1.3,2.2,,,1.75,2.2,1.3,,,,,,,,,Ethan Kahn,Natalie Loftus,
5,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,30,-2,35,0,20,12,5,0,72,0.486,0.000,0.278,0.167,0.069,0.000,Porites lobata,34,72,94,55,227,106,0,0,4,1,0,0,0,0,0,5,5,0.000,0.000,7.314,1.730,0.000,0.000,0.000,0.000,0.000,4.444,4.444,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,2.4,1.3,1.3,2,1.75,2.4,1.3,2.4,,,,2.4,2.4,2.4,,Ethan Kahn,Natalie Loftus,
6,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,35,-4,22,0,33,4,6,0,65,0.338,0.000,0.508,0.062,0.092,0.000,Porites lobata,74,57,85,60,207,131,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethan Kahn,Natalie Loftus,
7,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,39,-8,28,0,36,0,0,0,64,0.438,0.000,0.563,0.000,0.000,0.000,Porites lobata,30,76,79,72,195,106,0,0,0,5,0,3,1,0,0,5,8,0.000,0.000,0.000,8.889,0.000,5.333,1.000,0.000,0.000,5.000,8.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,2,2.375,2.5,2,,Ethan Kahn,Natalie Loftus,
8,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,39,4,12,0,1,2,0,0,15,0.800,0.000,0.067,0.133,0.000,0.000,Porites lobata,99,26,40,29,97,125,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethan Kahn,Natalie Loftus,
9,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,49,-4,17,0,1,0,0,0,18,0.944,0.000,0.056,0.000,0.000,0.000,Porites lobata,63,32,33,27,86,95,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethan Kahn,Natalie Loftus,
10,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,50,2,30,0,0,0,0,0,30,1.000,0.000,0.000,0.000,0.000,0.000,Porites lobata,69,46,35,29,101,115,0,0,0,0,0,0,0,0,0,0,0,0.000,,0.000,,0.000,,0.000,0.000,0.000,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethan Kahn,Natalie Loftus,
11,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,8,8,12,0,7,8,0,0,27,0.444,0.000,0.259,0.296,0.000,0.000,Porites lobata,107,39,37,28,113,146,29,1,0,0,0,0,0,0,30,0,0,154.667,4.267,0.000,0.000,0.000,0.000,0.000,0.000,71.111,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,4.3,4.5,3.6,3.2,3.9,4.5,3.2,4,,,,4,4,4,,,,,,,,,,,,,,,,Ellie Fox,Zoe Fu-Chen,
12,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,14,8,2,3,0,0,0,0,5,0.400,0.600,0.000,0.000,0.000,0.000,Porites lobata,60,12,18,17,48,72,1,1,0,0,0,0,0,0,2,0,0,32.000,21.333,0.000,0.000,0.000,0.000,0.000,0.000,25.600,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,3.2,,,,3.2,3.2,3.2,3.3,,,,3.3,3.3,3.3,,,,,,,,,,,,,,,,Ellie Fox,Zoe Fu-Chen,
13,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,18,8,4,6,0,2,0,0,12,0.333,0.500,0.000,0.167,0.000,0.000,Porites lobata,65,24,22,19,66,89,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Zoe Fu-Chen,
14,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,19,8,12,1,0,2,0,0,15,0.800,0.067,0.000,0.133,0.000,0.000,Porites lobata,59,19,20,16,62,78,0,0,0,0,1,0,0,0,0,0,1,0.000,0.000,0.000,0.000,5.333,0.000,0.000,0.000,0.000,0.000,4.267,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 small round hole (1 D dead on live),Ellie Fox,Zoe Fu-Chen,
15,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,20,10,0,19,0,1,0,0,20,0.000,0.950,0.000,0.050,0.000,0.000,Porites lobata,262,32,20,14,56,294,0,3,0,0,0,0,0,0,3,0,0,,9.600,,0.000,,0.000,0.000,0.000,9.600,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,1.4,3.4,3.0,,2.6,3.4,1.4,,,,,,,,,,,,,,,,Ellie Fox,Zoe Fu-Chen,
16,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,21,6,11,3,0,0,0,0,14,0.786,0.214,0.000,0.000,0.000,0.000,Porites lobata,60,25,27,19,77,85,0,0,3,0,1,0,0,0,0,3,4,0.000,0.000,17.455,0.000,5.818,0.000,0.000,0.000,0.000,13.714,18.286,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,,,,,,,,6.0,7,6,,6.3,7.0,6.0,,,,,,,,,Ellie Fox,Zoe Fu-Chen,
17,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,24,10,3,1,7,0,0,0,11,0.273,0.091,0.636,0.000,0.000,0.000,Porites lobata,88,25,22,16,54,113,9,5,0,0,0,0,0,0,14,0,0,192.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,81.455,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,4.0,4.0,3.0,1.5,3.1,4.0,1.5,4.4,4.0,6.0,4.4,4.7,6.0,4.0,,,,,,,,,,,,,,,,Ellie Fox,Zoe Fu-Chen,
18,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,27,8,0,12,6,2,0,0,20,0.000,0.600,0.300,0.100,0.000,0.000,Porites lobata,127,26,37,30,93,153,0,12,0,0,0,0,0,0,12,0,0,,38.400,,0.000,,0.000,0.000,0.000,38.400,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,,,,,,,,3.0,3.3,3.3,3.4,3.3,3.4,3.0,,,,,,,,,,,,,,,,Ellie Fox,Zoe Fu-Chen,
19,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,36,10,6,5,0,0,0,0,11,0.545,0.455,0.000,0.000,0.000,0.000,Porites lobata,66,20,25,15,60,86,2,0,1,2,1,0,0,0,2,3,4,21.333,0.000,10.667,25.600,10.667,0.000,0.000,0.000,11.636,17.455,23.273,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,3.3,4.0,,,3.7,4.0,3.3,,,,,,,,3.5,,,,3.5,3.5,3.5,4.8,5.0,,,4.9,5.0,4.8,,Ellie Fox,Zoe Fu-Chen,
